event_name,event_timestamp,user_pseudo_id
click,1743484628483120,
click,1743524662102648,
click,1743532062166799,
click,1743489596515859,
click,1743489619799181,
click,1743529906910466,
click,1743493056097337,
click,1743520846402935,
click,1743502408757927,
click,1743538420685930,
click,1743522220228106,
click,1743513970682796,
click,1743496120588669,
click,1743482849127240,
click,1743511982134878,
click,1743497629739163,
click,1743520995779827,
click,1743489848842875,
click,1743535840843811,
click,1743508561473260,
click,1743517236540166,
click,1743494203870118,
click,1743481205521846,
click,1743502327532749,
click,1743532509095847,
click,1743532090801036,
click,1743532993869507,
click,1743518147186302,
click,1743532183317709,
click,1743515752272371,
click,1743539910227494,
click,1743522148598111,
objednavka,1743513461451656,266608096.1743513288
objednavka,1743534302268250,1745374920.1743530186
objednavka,1743530193538251,1320509173.1743529594
objednavka,1743529039815181,59263786.1742889309
objednavka,1743525028914109,1336123445.1743524441
objednavka,1743526625984086,1656248526.1743526475
objednavka,1743480580911028,747142958.1743480424
click,1743527887216184,368327989.1743527884
click,1743527564331608,282397750.1741957956
click,1743533010640704,852730641.1743533004
click,1743539751051156,2059132601.1743539745
click,1743504397821586,1477188061.1743504392
click,1743504543381493,1477188061.1743504392
click,1743504939431654,1477188061.1743504392
click,1743510114249009,935792595.1743510108
click,1743510696238960,935792595.1743510108
click,1743510704226172,935792595.1743510108
click,1743493274497816,1300248496.1743251689
objednavka,1743500993175715,1221102585.1736465881
click,1743493609491508,1628276503.1743493609
objednavka,1743517675840335,2000668034.1743429834
click,1743533897520845,582464387.1743533890
objednavka,1743532646430966,1552469155.1743530632
objednavka,1743532976758440,1552469155.1743530632
objednavka,1743539119595993,1552469155.1743530632
objednavka,1743531864144524,2004466504.1743531142
objednavka,1743526861256917,1018299379.1743526599
objednavka,1743503412365683,1652162831.1738516832
objednavka,1743496879784102,1152811655.1727368964
click,1743532903279696,461758625.1743532784
objednavka,1743506693307783,890056302.1742637860
click,1743520111053365,1916639014.1743520105
objednavka,1743487941975542,2074289838.1740809097
click,1743506897876966,2034727677.1741196454
click,1743515895489566,1350710667.1743515689
objednavka,1743504924600323,531886648.1733334829
objednavka,1743529682983458,1858662686.1743191713
objednavka,1743496419838060,1329155029.1743412723
objednavka,1743512809664035,1642232631.1743512510
objednavka,1743510068361890,994560942.1743509029
click,1743496432488127,322202252.1714716616
click,1743525243998297,5027038.1738674580
objednavka,1743522233169746,1383148130.1743331220
objednavka,1743461990748210,529849949.1724469093
objednavka,1743533115866563,2127868203.1742497595
objednavka,1743533118983360,2127868203.1742497595
objednavka,1743533124306709,2127868203.1742497595
click,1743527336262586,950726063.1740576220
objednavka,1743525750099398,774062449.1743525481
click,1743535573688435,2135385837.1743535430
click,1743529585257786,548522634.1741360166
objednavka,1743511351399786,2140865284.1740564412
click,1743534005819877,1837450511.1738192284
objednavka,1743507414704203,1544349608.1738781648
objednavka,1743526693961323,1998977939.1712855569
objednavka,1743538176521575,1591929118.1743537169
