code,name,manufacturer,itemType,ean,defaultCategory,categoryText,categoryText2,price,standardPrice,purchasePrice,currency,percentVat,maxDiscount,applyDiscountCoupon,applyLoyaltyDiscount,applyQuantityDiscount,applyVolumeDiscount,relativeMargin,absoluteMargin,variant_Sila_vrecusok_v_boxe_,stock,availabilityOutOfStock,availabilityInStock,productVisibility
DP5,DOPE LIME SMASH CRAZY STRONG,Dope,product,8594203200371,Nikotinove vrecuska > DOPE,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > DOPE,4.3,4.3,***,EUR,23,2,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KL15,KILLA PINEAPPLE,Killa,product,5744000760865,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,9,Vypredane,Skladom,visible
KL3,KILLA BLUEBERRY,Killa,product,5744000760094,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,0,1,1,1,***,***,,27,Vypredane,Skladom,visible
CN4,CANDYS ICE CHERRY GUM,Candys,product,4779053620478,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
CN3,CANDYS ICE CANDY,Candys,product,4779053620485,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
CN2,CANDYS GUMMY BEARS,Candys,product,4779053620508,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
CN1,CANDYS COLA MARMALADE,Candys,product,4779053620515,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
CN6,CANDYS WATERMELON CANDY,Candys,product,4779053620492,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,visible
CN5,CANDYS STRAWBERRY VANILLA CANDY,Candys,product,4779053620522,Neviditelne produkty,Neviditelne produkty,,5.2,5.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KF15,KURWA FATALITY CHERRY CRANBERRY SHAKE,Kurwa,product,4779053620157,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF13,KURWA FATALITY GRAPE MINT WAVES,Kurwa,product,4779053620195,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF18,KURWA FATALITY PINK ROSE LEMONADE,Kurwa,product,4779053620164,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF8,KURWA FATALITY CACTUS APPLE,Kurwa,product,4779053620188,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF4,KURWA FATALITY BRUTAL BLUEBERRY,Kurwa,product,4779053620102,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
FC8,FEDRS ICE COOL MANGO HARD,Fedrs,product,5907761404878,Nikotinove vrecuska > Fedrs,Nikotinove vrecuska > Fedrs,Nikotinove vrecuska > PODlA SILY > Stredne silne,5.3,5.3,***,EUR,23,,1,0,0,0,***,***,,9,Vypredane,Skladom,visible
NS3,NOIS EXTREME,Nois,product,4742024720033,Nikotinove vrecuska > NOIS,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,Nikotinove vrecuska > NOIS,4.2,4.2,***,EUR,23,,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
NS1,NOIS BLACKCURRANT,Nois,product,4742024720071,Nikotinove vrecuska > NOIS,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > NOIS,4.2,4.2,***,EUR,23,,1,1,1,1,***,***,,7,Vypredane,Skladom,visible
NS4,NOIS MANGO MINT,Nois,product,4742024720064,Nikotinove vrecuska > NOIS,Nikotinove vrecuska > PODlA SILY > Slabe,Nikotinove vrecuska > NOIS,4.2,4.2,***,EUR,23,,1,1,1,1,***,***,,15,Vypredane,Skladom,visible
RB2,RABBIT ICE HEMP X-Strong,,product,634240204111,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
804,Poistenie zásielky,,service,55884462154,Nase produkty,Nase produkty,,0.8,0.8,***,EUR,23,,0,0,0,0,***,***,,104,Vypredane,Skladom,visible
806,Oznámenie o stave objednávky (sms),,service,2156987457,Nase produkty,Nase produkty,,0.5,0.5,***,EUR,23,,0,0,0,0,***,***,,9444,Vypredane,Skladom,visible
837,Darčekový poukaz v hodnote 35€,,product,,Neviditelne produkty,Neviditelne produkty,,35.0,35.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
843,Darčekový poukaz v hodnote 50€,,product,,Neviditelne produkty,Neviditelne produkty,,50.0,50.0,***,EUR,23,,1,1,1,1,***,***,,1,Vypredane,Skladom,hidden
846,Darčekový poukaz v hodnote 100€,,product,,Neviditelne produkty,Neviditelne produkty,,100.0,100.0,***,EUR,23,,1,1,1,1,***,***,,1,Vypredane,Skladom,hidden
849,Darčekový poukaz v hodnote 20€,,product,,Neviditelne produkty,Neviditelne produkty,,20.0,20.0,***,EUR,23,,1,1,1,1,***,***,,1,Vypredane,Skladom,hidden
EKR4,REYMONT KURWA BLUERAZZ,Kurwa,product,4779053620782,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK15,REYMONT KURWA PINK LEMONADE,Kurwa,product,4779053620638,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK11,REYMONT KURWA PASSION FRUIT,Kurwa,product,4779053620577,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK12,REYMONT KURWA MIXED BERRY,Kurwa,product,4779053620584,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK10,REYMONT KURWA KIWI STRAWBERRY,Kurwa,product,4779053620621,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK8,REYMONT KURWA GRAPE ICE,Kurwa,product,4779053620652,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KL9,KILLA DOUBLE DUTCH COLD,Killa,product,5744000760995,Neviditelne produkty,Neviditelne produkty,,3.9,3.9,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF19,KURWA FATALITY STRAWBERRY CAKE,Kurwa,product,4779053620454,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF1,KURWA FATALITY APPLE BUBBLEGUM,Kurwa,product,4779053620430,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF3,KURWA FATALITY BLACK FRUIT MINT,Kurwa,product,4779053620447,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
KF10,KURWA FATALITY COLA WHISKY,Kurwa,product,4779053620423,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK4,REYMONT KURWA COLA ICE,Kurwa,product,4779053620645,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
EKL2,KILLA SWITCH ENERGY DRINK,Killa,product,6937105426906,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7.0,7.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKL03,KILLA SWITCH LUSH ICE,Killa,product,6937105426845,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7.0,7.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKL04,KILLA SWITCH LYCHEE ICE,Killa,product,6937105426944,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7.0,7.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKL05,KILLA SWITCH MIXED FRUITS,Killa,product,6937105426982,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7.0,7.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKL06,KILLA SWITCH PEACH ICE,Killa,product,6937105426968,E-cigarety > KILLA SWITCH,E-cigarety > KILLA SWITCH,,7.0,7.0,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EAK6,AROMA KING MANGO CLASSIC,AROMA KING,product,5903816067838,,E-cigarety,,7.2,7.2,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EAK4,AROMA KING LYCHEE ICE CLASSIC,AROMA KING,product,5903816067791,,E-cigarety,,7.2,7.2,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EAK5,AROMA KING MANGO APPLE PEAR CLASSIC,AROMA KING,product,,,E-cigarety,,7.2,7.2,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EAK1,AROMA KING COLA CLASSIC,AROMA KING,product,,,E-cigarety,,7.2,7.2,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
ERK17,REYMONT KURWA WATERMELON BULL,Kurwa,product,4779053620775,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK16,REYMONT KURWA TAFFEE,Kurwa,product,4779053620799,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,0,1,1,1,***,***,,0,Vypredane,Skladom,hidden
ERK13,REYMONT KURWA PINEAPPLE,Kurwa,product,4779053620812,,E-cigarety,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
EKR1,REYMONT KURWA BANANA ICE,Kurwa,product,4779053620768,Neviditelne produkty,Neviditelne produkty,,6.9,6.9,***,EUR,23,5,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
NS2,NOIS COOL STRONG,Nois,product,4742024720118,Nikotinove vrecuska > NOIS,Nikotinove vrecuska > PODlA SILY > Stredne silne,Nikotinove vrecuska > NOIS,4.2,4.2,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
KL4,KILLA BUBBLEGUM,Killa,product,5744000761299,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,6,Vypredane,Skladom,visible
PB5,PABLO EXCLUSIVE FROSTED MINT,Pablo,product,5744000761671,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
PB15,PABLO EXCLUSIVE STRAWBERRY CHEESECAKE,Pablo,product,5744000761640,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
PB7,PABLO EXCLUSIVE MANGO ICE,Pablo,product,5744000761633,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
PB4,PABLO EXCLUSIVE BUBBLEGUM,Pablo,product,5744000761619,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
PB1,PABLO  EXCLUSIVE BANANA ICE,Pablo,product,5744000761602,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,42,Vypredane,Skladom,visible
PB9,PABLO EXCLUSIVE STRAWBERRY LYCHEE,Pablo,product,5744000761657,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,5.0,5.0,***,EUR,23,,1,1,1,1,***,***,,49,Vypredane,Skladom,visible
KL16,KILLA STRAWBERRY CHEESECAKE,Killa,product,5744000761312,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,11,Vypredane,Skladom,visible
KL11,KILLA GRAPE ICE,Killa,product,5744000761343,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,5,Vypredane,Skladom,visible
KL2,KILLA BANANA ICE,Killa,product,5744000761305,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,1,1,1,***,***,,8,Vypredane,Skladom,visible
KF17,KURWA FATALITY MANGO MILK,Kurwa,product,4779053620416,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
CA2,CANNADIPS FRESH WINTERGREEN,CANNADIPS,product,5907625555197,Neviditelne produkty,Neviditelne produkty,,15.9,15.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
CA5,CANNADIPS TROPICAL MANGO,CANNADIPS,product,5907625555173,Neviditelne produkty,Neviditelne produkty,,15.9,15.9,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
1122,Nicolips pluvadlo,,product,,Nikotinove vrecuska,Nikotinove vrecuska,Nase produkty,9.9,9.9,***,EUR,23,5,1,1,1,1,***,***,,3,Vypredane,Skladom,visible
1128,Big Mouth Salt - Frozen Grape,,product,,Neviditelne produkty,Neviditelne produkty,,4.3,4.3,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1134,Big Mouth Salt - Beast,,product,,Neviditelne produkty,Neviditelne produkty,,4.3,4.3,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1137,Big Mouth Salt - Wild Wolf,,product,,Neviditelne produkty,Neviditelne produkty,,4.3,4.3,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1143/10,Dr. Vapes - Pink - Candy,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1143/20M,Dr. Vapes - Pink - Candy,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
DVP1,Dr. Vapes - Panther - PURPLE,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
DVP2,Dr. Vapes - Panther - PURPLE,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
DV1,Dr. Vapes - Panther - GOLD,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,4.6,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
DV2,Dr. Vapes - Panther - GOLD,,product,,Neviditelne produkty,Neviditelne produkty,,4.6,4.6,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1155/12,PEEGEE Vodný melón,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1155/18,PEEGEE Vodný melón,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1155/6 M,PEEGEE Vodný melón,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
PEE1,PEEGEE Energetický nápoj,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
PEE2,PEEGEE Energetický nápoj,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
PEE3,PEEGEE Energetický nápoj,,product,8596415505947,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1164/12,PEEGEE Káva,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1164/18,PEEGEE Káva,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1164/6 M,PEEGEE Káva,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1167/12,PEEGEE Vanilka,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1167/18,PEEGEE Vanilka,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1167/6 M,PEEGEE Vanilka,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1170/12,Barly Black,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1170/18,Barly Black,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1170/6 M,Barly Black,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1173/10,Barly RED Cherry,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1173/5 M,Barly RED Cherry,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1176/12,Barly Gold,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1176/18,Barly Gold,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1176/6 M,Barly Gold,,product,,Neviditelne produkty,Neviditelne produkty,,3.4,3.4,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1182,Joyetech eGo AIO,,product,,Neviditelne produkty,Neviditelne produkty,,45944.0,11.5,***,EUR,23,2,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1188/0-5,Náhradná žhaviaca hlava Joyetech BF eGo AIO,,product,,Neviditelne produkty,Neviditelne produkty,,3.65,3.65,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1188/0-6,Náhradná žhaviaca hlava Joyetech BF eGo AIO,,product,,Neviditelne produkty,Neviditelne produkty,,3.65,3.65,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1188/1-0,Náhradná žhaviaca hlava Joyetech BF eGo AIO,,product,,Neviditelne produkty,Neviditelne produkty,,3.65,3.65,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1191,Joyetech eGo AIR Pod (Stellar Black),,product,,Neviditelne produkty,Neviditelne produkty,,16.95,16.95,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
1194,Joyetech eGo AIR - Pod Cartridge - 2ml - 1ohm,,product,,Neviditelne produkty,Neviditelne produkty,,3.95,3.95,***,EUR,23,,1,1,1,1,***,***,,0,Vypredane,Skladom,hidden
1197,Joyetech eGo Pod 1000mAh Čierna,,product,,Neviditelne produkty,Neviditelne produkty,,11.5,11.5,***,EUR,23,,1,1,1,1,***,***,,0,,,hidden
SI4,-80 °C White Dry Regular 43 mg/g,Siberia,product,7350049926452,Snus,Snus > Siberia,,5.5,5.3,***,EUR,23,3,1,1,1,1,***,***,,0,Vypredane,Skladom,visible
